K K KINGSTON LIMITED                         * *  WIP-JOURNAL MPC  * *                    06072020 09:58:15 Page   1
                                TRANSACTION NO. : 000562396 BOOK ENTRY DATE : 05-07-20
                                                 Currency Code : PGK
COMPANY 01 FIN.YEAR 20===============================================================================/Scala/MP0632/6
TRANS-    TRANSDAT ACC    CC     PRD    PRJ                  AMOUNT TEXT--------------------- WORK.C WO-NO-----
====================================================================================================================
000547195 05-07-20 001049                                   731.89  18-10-0015                       0000864766
                   001021 60     RAWMAT                     731.89- 18-10-0015                       0000864766
000547196 05-07-20 001049                                     0.27  10-06-0230                       0000864766
                   001021 60     RAWMAT                       0.27- 10-06-0230                       0000864766
000547197 05-07-20 001049                                   581.76  SB 02                     21     0000864766
                   350000 60                                581.76- SB 02                     21     0000864766
000547198 05-07-20 100112 60     RAWMAT                    1709.06  18-10-0251                       0000864766
                   001049                                  1709.06- 18-10-0251                       0000864766
000547210 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547211 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547212 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547213 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547214 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547215 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547216 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547217 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547218 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547219 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547220 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547221 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547222 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547223 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547224 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547225 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547226 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547227 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547228 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
000547229 05-07-20 001049                                     6.92  14-05-0085                       0000864768
                   001021 60     ACBBOT                       6.92- 14-05-0085                       0000864768
